code_unique,code,name,uom,uom_raw,price
E-001,E-001,Mobilisasi,LS,Ls,
E-002,E-002,Bayar Air,LS,Ls,
E-003,E-003,Bayar Listrik,LS,Ls,
E-004,E-004,Penebang Pohon,LS,Ls,
E-005,E-005,Drainase,LS,Ls,
E-006,E-006,Service/Pembersihan,LS,Ls,
